longitude,latitude,Trap_Status
-87.098992,36.291406,Absence
-87.098937,36.291496,Absence
-87.098803,36.291704,Presence
-87.098803,36.291704,Presence
-87.098959,36.291749,Absence
-87.099204,36.291559,Presence
-87.099227,36.291704,Absence
-87.099204,36.291577,Absence
-87.098836,36.290793,Absence
-87.098803,36.291605,Presence
-87.098791,36.290838,Absence
-87.098513,36.291127,Absence
-87.098903,36.29146,Absence
-87.098848,36.291668,Absence
-87.099282,36.291803,Absence
-87.09926,36.291532,Presence
-87.099449,36.291577,Absence
-87.098869,36.290676,Absence
-87.099026,36.291289,Absence
-87.076497,36.291946,Absence
-87.098748,36.291632,Absence
-87.09917,36.29144,Absence
-87.099048,36.291496,Absence
-87.09907,36.291244,Absence
-87.098803,36.291461,Absence
-87.09887,36.291451,Absence
-87.098881,36.291506,Presence
-87.09877,36.291704,Absence
-87.098814,36.291542,Absence
-87.098435,36.291407,Absence
-87.099137,36.291451,Absence
-87.099104,36.291614,Absence
-87.099226,36.291541,Absence
-87.098714,36.291434,Absence
-87.098813,36.290811,Absence
-87.09916,36.291632,Absence
-87.098848,36.291515,Absence
-87.098848,36.291551,Absence
-87.098892,36.29551,Presence
-87.099249,36.291568,Absence
-87.099093,36.291559,Absence
-87.099115,36.291397,Absence
-87.09907,36.291361,Absence
-87.098892,36.291551,Presence
-87.098848,36.2915043,Presence
-87.098881,36.291506,Presence
-87.098881,36.291506,Presence
-87.098881,36.291506,Presence
-87.098881,36.291506,Presence
-87.098881,36.291506,Presence
-87.09944908,36.29157718,Presence
-87.09899251,36.29159559,Presence
-87.09944908,36.29157718,Presence
-87.0987911,36.29083845,Presence
-87.0992597,36.29153226,Presence
-87.09944908,36.29157718,Presence
-87.09944908,36.29157718,Presence
-87.09883558,36.29079334,Presence
-87.0988032,36.29160476,Presence
-87.0989367,36.29149646,Presence
-87.0993046,36.2918117,Presence
-87.09880302,36.29146051,Presence
-87.09886982,36.29145144,Presence
-87.09880302,36.29146051,Presence
-87.0991705,36.29144218,Presence
-87.09874755,36.29163185,Presence
-87.09874755,36.29163185,Presence
-87.0992597,36.29153226,Presence
-87.0988032,36.29160476,Presence
-87.0988032,36.29160476,Presence
-87.09921519,36.29155934,Presence
-87.09882446,36.29080236,Presence
-87.09882446,36.29080236,Presence
-87.09882446,36.29080236,Presence
-87.09885864,36.29141539,Presence
-87.09917,36.29143,Presence
-87.09917,36.29143,Presence
-87.09880302,36.29146051,Presence
-87.09921519,36.29155934,Presence
